,OverallQual,GrLivArea,YearBuilt,GarageArea,TotalBsmtSF,1stFlrSF,YearRemodAdd,GarageYrBlt,KitchenQual,SalePrice
51,6,1176,1934,528,816,816,1950,1985,TA,114500
52,5,816,1963,516,816,816,1963,1963,TA,110000
53,9,1842,1981,894,1842,1842,1987,1981,Gd,385000
54,5,1360,1955,572,384,1360,1955,1962,TA,130000
55,6,1425,1964,576,1425,1425,1964,1964,TA,180500
56,8,1739,1999,480,970,983,2000,1999,Gd,172500
57,7,1720,2004,565,860,860,2004,2004,Gd,196500
58,10,2945,2006,641,1410,1426,2006,2006,Gd,438780
59,5,780,1972,352,780,780,1972,1973,TA,124900
60,6,1158,2004,576,1158,1158,2004,2006,Gd,158000
61,5,1111,1920,288,530,581,1996,1935,Fa,101000
62,8,1370,2006,484,1370,1370,2006,2006,Gd,202500
63,7,1710,1921,480,576,902,1950,1990,TA,140000
64,7,2034,1997,645,1057,1057,1998,1998,Gd,219500
65,8,2473,2004,852,1143,1143,2005,2004,Gd,317000
66,7,2207,1970,576,1947,2207,1989,1970,TA,180000
67,7,1479,2003,558,1453,1479,2003,2003,Gd,226000
68,4,747,1945,220,747,747,1950,1945,TA,80000
69,7,2287,1953,667,1304,1304,1953,1953,TA,225000
70,7,2223,1973,516,2223,2223,1973,1973,TA,244000
71,4,845,1982,360,845,845,2006,1987,TA,129500
72,7,1718,1998,427,832,885,1998,1998,TA,185000
73,5,1086,1954,490,1086,1086,2003,1989,TA,144900
74,3,1605,1915,379,840,840,1950,1915,TA,107400
75,4,988,1973,297,462,526,1973,1973,TA,91000
76,4,952,1956,283,952,952,1956,1956,TA,135750
77,5,1285,1948,240,672,1072,2001,1948,TA,127000
78,4,1768,1968,0,1768,1768,1968,1980,TA,136500
79,5,1230,1910,440,440,682,1981,1966,TA,110000
80,6,2142,1968,509,896,1182,1968,1968,Gd,193500
81,6,1337,1998,405,1237,1337,1998,1998,TA,153500
82,8,1563,2007,758,1563,1563,2007,2007,Gd,245000
83,5,1065,1960,461,1065,1065,1960,1974,TA,126500
84,7,1474,1995,400,384,804,1996,1995,TA,168500
85,8,2417,1991,462,1288,1301,1992,1991,Gd,260000
86,6,1560,2005,400,684,684,2005,2005,Gd,174000
87,6,1224,2009,528,612,612,2009,2009,Gd,164500
88,3,1526,1915,0,1013,1013,1982,1980,Fa,85000
89,4,990,1994,0,990,990,1995,1980,TA,123600
90,4,1040,1950,420,0,1040,1950,1950,TA,109900
91,5,1235,1961,480,1235,1235,1961,1961,TA,98600
92,5,964,1921,432,876,964,2006,1921,TA,163500
93,6,2291,1910,506,1214,1260,1998,1900,TA,133900
94,6,1786,1997,684,824,905,1997,1997,Gd,204750
95,6,1470,1993,420,680,680,1993,1993,TA,185000
96,7,1588,1999,472,1588,1588,1999,1999,Gd,214000
97,4,960,1965,432,960,960,1965,1965,TA,94750
98,5,835,1920,366,458,835,1950,1920,TA,83000
99,4,1225,1959,0,950,1225,1959,1980,TA,128950
100,6,1610,1977,480,1610,1610,2001,1977,Gd,205000
101,6,1732,1985,476,741,977,1985,1985,Gd,178000
102,5,1535,1979,410,0,1535,1979,1979,TA,118964
103,7,1226,2009,740,1226,1226,2009,2009,Gd,198900
104,7,1818,1931,240,1040,1226,1950,1951,TA,169500
105,8,1992,2003,648,1053,1053,2004,2003,Gd,250000
106,4,1047,1885,273,641,1047,1995,1954,TA,100000
107,5,789,1948,250,789,789,1950,1948,TA,115000
108,5,1517,1919,0,793,997,2005,1980,Fa,115000
109,6,1844,1977,546,1844,1844,1977,1977,TA,190000
110,6,1855,1954,325,994,1216,1972,1954,TA,136900
111,7,1430,2000,400,384,774,2000,2000,TA,180000
112,7,2696,2007,792,1264,1282,2007,2007,Ex,383970
113,6,2259,1953,450,1809,2259,1953,1953,Gd,217000
114,6,2320,1945,180,1028,1436,2002,1945,Gd,259500
115,6,1458,1999,440,729,729,1999,1999,TA,176000
116,5,1092,1962,288,1092,1092,1962,1962,TA,139000
117,5,1125,2006,430,1125,1125,2007,2007,TA,155000
118,7,3222,1990,594,1673,1699,1990,1990,Gd,320000
119,6,1456,2005,390,728,728,2006,2005,Gd,163990
120,6,988,1969,540,938,988,1969,1969,TA,180000
121,4,1123,1939,264,732,772,1950,1979,TA,100000
122,6,1080,1958,288,1080,1080,1958,1958,TA,136000
123,6,1199,1993,530,1199,1199,1993,1993,Gd,153900
124,6,1586,1979,435,1362,1586,1998,1979,TA,181000
125,6,754,1935,0,520,520,1982,1980,TA,84500
126,6,958,1976,440,1078,958,1976,1977,TA,128000
127,5,840,1930,0,672,840,1950,1980,TA,87000
128,6,1348,1966,453,660,660,1966,1966,TA,155000
129,5,1053,1958,750,1008,1053,1991,1998,Ex,150000
130,7,2157,1966,487,924,1216,1966,1966,Gd,226000
131,6,2054,2000,390,992,1022,2000,2000,Gd,244000
132,5,1327,1959,624,1063,1327,2002,1974,Gd,150750
133,8,1296,2001,471,1267,1296,2002,2001,Gd,220000
134,5,1721,1968,440,1461,1721,1993,1968,TA,180000
135,7,1682,1970,530,1304,1682,1970,1970,TA,174000
136,5,1214,1967,318,1214,1214,1967,1967,TA,143000
137,7,1959,1988,766,1907,1959,1989,1989,TA,171000
138,8,1852,1999,660,1004,1004,2000,1999,Gd,230000
139,6,1764,1997,470,928,928,1997,1997,Gd,231500
140,4,864,1971,0,864,864,1971,1980,TA,115000
141,7,1734,2005,660,1734,1734,2005,2005,Gd,260000
142,5,1385,1952,720,910,910,1952,2000,TA,166000
143,7,1501,1999,577,1490,1501,1999,1999,Gd,204000
144,5,1728,1963,504,1728,1728,1963,1963,TA,125000
145,6,1709,2004,380,970,970,2006,2004,Gd,130000
146,5,875,1931,180,715,875,1993,1931,TA,105000
147,7,2035,2001,434,884,884,2001,2001,Gd,222500
148,7,1080,2004,0,1080,1080,2005,1980,Gd,141000
149,5,1344,1936,240,896,896,1950,1936,TA,115000
150,5,969,1975,440,969,969,1975,1975,TA,122000
151,8,1710,2007,866,1710,1710,2008,2007,Gd,372402
152,6,1993,1971,495,825,1097,1971,1971,TA,190000
153,6,1252,1960,564,1602,1252,1975,1960,TA,235000
154,6,1200,1923,312,1200,1200,1950,1923,TA,125000
155,6,1096,1924,0,572,572,1950,1980,TA,79000
156,5,1040,1950,625,0,1040,1950,1950,TA,109500
157,8,1968,2009,680,774,774,2010,2009,Ex,269500
158,7,1947,2004,678,991,991,2005,2004,Gd,254900
159,7,2462,2005,576,1392,1392,2006,2006,Gd,320000
160,6,1232,1984,516,1232,1232,1984,1984,TA,162500
161,9,2668,2003,726,1572,1572,2004,2003,Ex,412500
162,7,1541,2005,532,1541,1541,2005,2005,Gd,220000
163,4,882,1956,0,882,882,1956,1980,TA,103200
164,6,1616,1926,216,1149,1149,2004,1926,Gd,152000
165,5,1355,1940,0,644,808,1999,1980,TA,127500
166,5,1867,1955,303,1617,1867,1993,1955,TA,190000
167,8,2161,2007,789,1582,1610,2007,2007,Ex,325624
168,7,1720,2004,440,840,840,2004,2004,Gd,183500
169,8,1707,1981,511,1686,1707,1981,1981,TA,228000
170,5,1382,1941,660,720,854,1950,1991,TA,128500
171,6,1656,1960,528,1080,1656,1960,1960,TA,215000
172,7,1767,1987,504,1064,1064,1987,1987,Gd,239000
173,6,1362,1961,504,1362,1362,1961,1961,TA,163000
174,6,1651,1986,616,1606,1651,1986,1986,TA,184000
175,6,2158,1950,576,1202,2158,2001,1950,Gd,243000
176,6,2060,1988,521,1151,1164,1989,1988,TA,211000
177,5,1920,1958,451,1052,1252,1958,1958,Gd,172500
178,9,2234,2008,1166,2216,2234,2009,2009,Ex,501837
179,5,968,1923,480,968,968,2006,1935,TA,100000
180,6,1525,2000,440,756,769,2000,2000,Gd,177000
181,7,1802,1920,216,793,901,1950,1920,TA,200100
182,5,1340,1957,252,0,1340,2006,1957,TA,120000
183,7,2082,2003,484,1362,1362,2003,2003,Gd,200000
184,5,1252,1908,576,504,936,1991,1986,TA,127000
185,10,3608,1892,840,1107,1518,1993,1993,Ex,475000
186,7,1217,1990,497,1188,1217,1991,1990,Gd,173000
187,5,1656,1916,180,660,808,1987,1916,TA,135000
188,5,1224,1979,528,1086,1224,1979,1979,TA,153337
189,8,1593,2001,682,1593,1593,2002,2001,Ex,286000
190,8,2727,1932,440,853,1549,1994,1932,Gd,315000
191,7,1479,1972,484,725,725,2004,1972,Gd,184000
192,7,1431,1999,666,1431,1431,1999,1999,Gd,192000
193,7,1709,2004,380,970,970,2004,2004,Gd,130000
194,5,864,1972,352,864,864,1972,1989,TA,127000
195,6,1456,1976,440,855,855,1976,1976,TA,148500
196,7,1726,2007,786,1726,1726,2007,2007,Ex,311872
197,8,3112,1918,795,1360,1360,1990,1918,Gd,235000
198,6,2229,1912,0,755,929,1950,1980,TA,104000
199,8,1713,2004,856,1713,1713,2005,2004,Ex,274900
200,4,1121,2003,440,1121,1121,2004,2003,TA,140000
201,6,1279,1977,473,1196,1279,1977,1980,TA,171500
202,6,1310,1924,398,617,865,1950,1924,TA,112000
203,6,848,2004,420,848,848,2004,2004,Gd,149000
204,5,1284,1947,240,720,720,1950,1948,TA,110000
205,7,1442,1990,500,1424,1442,1990,1990,TA,180500
206,5,1696,1962,349,1140,1696,1962,1962,TA,143900
207,4,1100,1960,312,1100,1100,1960,1960,TA,141000
208,7,2062,1988,454,1157,1180,1989,1988,TA,277000
209,6,1092,1964,504,1092,1092,1964,1964,TA,145000
210,5,864,1925,0,864,864,1950,1980,TA,98000
211,6,1212,2009,460,1212,1212,2009,2009,Gd,186000
212,7,1852,2009,644,900,932,2009,2009,Gd,252678
213,5,990,1995,576,990,990,1995,1996,TA,156000
214,6,1392,1977,299,689,689,1977,1977,TA,161750
215,5,1236,1957,447,1070,1236,1996,1957,Gd,134450
216,7,1436,2004,484,1436,1436,2004,2004,Gd,210000
217,4,1328,1925,210,686,810,1950,1940,TA,107000
218,7,1954,1939,431,798,1137,2006,1939,Gd,311500
219,7,1248,2005,438,1248,1248,2006,2005,Gd,167240
220,7,1498,2006,675,1498,1498,2006,2006,Gd,204900
221,6,2267,2002,390,1010,1010,2002,2002,Gd,200000
222,6,1552,1975,434,713,811,1975,1975,TA,179900
223,4,864,1971,576,864,864,1971,1989,TA,97000
224,10,2392,2003,968,2392,2392,2003,2003,Ex,386250
225,5,1302,1971,280,630,630,1971,1991,TA,112000
226,7,2520,1995,721,1203,1214,1995,1995,Gd,290000
227,6,987,1970,280,483,483,1970,1987,TA,106000
228,5,912,1967,336,912,912,1967,1974,TA,125000
229,7,1555,2005,430,1373,1555,2006,2005,Gd,192500
230,6,1194,1959,312,1194,1194,1959,1959,TA,148000
231,8,2794,1995,810,1462,1490,1996,1995,Ex,403000
232,6,987,1972,288,483,483,1972,1972,TA,94500
233,5,894,1976,308,894,894,1976,1976,TA,128200
234,6,1960,2002,440,860,860,2002,2002,Gd,216500
235,6,987,1971,264,483,483,1971,1971,TA,89500
236,7,1414,2004,494,1414,1414,2004,2004,Gd,185500
237,7,1744,1993,457,996,1014,2003,1993,Gd,194500
238,8,1694,2007,818,1694,1694,2007,2007,Gd,318000
239,6,1487,1945,220,735,798,1950,1949,TA,113000
240,8,1566,2008,750,1566,1566,2008,2008,Gd,262500
241,5,866,1945,0,686,866,1997,1980,Gd,110500
242,5,1440,1900,352,540,889,1950,1940,TA,79000
243,6,1217,1980,288,626,626,1980,1980,TA,120000
244,7,2110,1994,463,948,1222,2002,1994,Gd,205000
245,7,1872,1988,604,1845,1872,1988,1988,TA,241500
246,6,1928,1910,440,1020,908,1950,1910,Fa,137000
247,6,1375,1954,451,1367,1375,1954,1954,TA,140000
248,7,1668,2003,500,840,840,2003,2003,Gd,180000
249,6,2144,1958,389,1444,1444,2006,1958,Gd,277000
250,3,1306,1940,0,728,1306,1966,1980,Fa,76500
251,8,1625,2006,538,1573,1625,2007,2006,Gd,235000
252,6,1640,2004,520,798,798,2004,2004,Gd,173000
253,6,1302,1964,309,1302,1302,1991,1964,Gd,158000
254,5,1314,1957,294,1314,1314,1957,1957,TA,145000
255,7,2291,1999,429,975,1005,1999,1999,Gd,230000
256,6,1728,2003,673,864,864,2003,2003,Gd,207500
257,7,1604,2006,660,1604,1604,2006,2006,Gd,220000
258,7,1792,2001,564,963,963,2001,2001,Gd,231500
259,5,882,1956,308,0,882,1956,1956,TA,97000
260,6,1382,1962,884,1362,1382,1962,1991,TA,176000
261,8,2574,2007,868,1482,1482,2007,2007,Ex,276000
262,6,1212,1977,492,506,1212,1995,1978,TA,151000
263,5,1316,1929,484,926,926,2001,1974,TA,130000
264,5,764,1925,504,680,764,2004,1965,TA,73000
265,6,1422,1981,576,1422,1422,1981,1981,Gd,175500
266,6,1511,1997,413,802,802,1997,1997,TA,185000
267,5,2192,1939,240,720,1052,1997,1939,Gd,179500
268,5,778,1940,924,740,778,1955,1966,TA,120500
269,6,1113,1976,504,1143,1113,1976,1987,TA,148000
270,8,1939,2006,1053,1095,1095,2006,2006,Gd,266000
271,7,1363,1954,439,1385,1363,2005,1954,TA,241500
272,8,2270,1999,671,1152,1164,2007,1999,Gd,290000
273,6,1632,1958,338,1240,1632,1988,1958,TA,139000
274,5,816,1982,264,816,816,1982,1982,TA,124500
275,7,1548,1925,672,952,952,2007,1978,Ex,205000
276,7,1560,2003,573,1560,1560,2003,2003,Gd,201000
277,4,864,1951,400,864,864,1951,1951,TA,141000
278,9,2121,2006,732,2121,2121,2007,2007,Ex,415298
279,7,2022,1977,505,1160,1156,1977,1977,TA,192000
280,7,1982,1989,575,807,1175,1989,1989,Gd,228500
281,6,1262,2006,572,1262,1262,2006,2006,Gd,185000
282,7,1314,2007,626,1314,1314,2008,2008,Gd,207500
283,8,1468,2008,898,1468,1468,2009,2008,Gd,244600
284,6,1575,1992,529,1575,1575,1992,1992,Gd,179200
285,7,1250,2006,528,625,625,2007,2006,Gd,164700
286,6,1734,1962,440,912,1085,1981,1962,Gd,159000
287,4,858,1971,0,858,858,1971,1980,TA,88000
288,5,900,1967,280,882,900,1967,1970,TA,122000
289,6,1396,1915,384,698,698,2003,2003,TA,153575
290,8,1919,2006,685,1079,1079,2006,2006,Gd,233230
291,5,1716,1912,0,780,936,2000,1980,Fa,135900
292,5,1716,1949,281,768,1148,2008,1949,TA,131000
293,7,2263,1977,539,795,1468,1994,1977,Gd,235000
294,6,1644,1953,418,1416,1644,1953,1953,TA,167000
295,6,1003,1984,588,1003,1003,1984,1984,TA,142500
296,5,1558,1950,282,910,910,1950,1950,TA,152000
297,7,1950,1997,576,975,975,1998,1997,Gd,239000
298,6,1743,1968,539,702,1041,1968,1968,TA,175000
299,6,1152,1950,300,1092,1152,2004,1950,Gd,158500
300,5,1336,1953,375,1165,1336,1953,1953,TA,157000
301,8,2452,1998,683,1028,1210,1999,1998,Gd,267000
302,7,1541,2001,843,1541,1541,2002,2001,Gd,205000
303,5,894,1972,552,894,894,1972,1975,TA,149900
304,7,3493,1880,870,1470,1675,2002,2003,Gd,295000
305,8,2000,2004,888,2000,2000,2005,2004,Gd,305900
306,7,2243,1990,746,700,1122,1991,1990,Gd,225000
307,6,1406,1920,0,319,1035,1950,1980,Fa,89500
308,4,861,1940,539,861,861,1950,1961,TA,82500
309,9,1944,2003,708,1896,1944,2004,2003,Ex,360000
310,6,1501,1993,420,697,697,1994,1993,Gd,165600
311,6,972,1948,240,972,972,2002,1948,TA,132000
312,5,1118,1939,410,793,793,1950,1939,TA,119900
313,7,2036,1965,513,2136,2036,1965,1965,TA,375000
314,7,1641,1925,546,728,832,1990,1925,Ex,178000
315,7,1432,2004,432,716,716,2005,2004,Gd,188500
316,7,2353,1980,484,845,1153,1980,1983,Ex,260000
317,8,1959,2006,1025,1088,1088,2006,2006,Gd,270000
318,7,2646,1993,656,1347,1372,1993,1993,Gd,260000
319,7,1472,1980,588,1372,1472,1980,1980,TA,187500
320,9,2596,2006,840,1249,1249,2006,2006,Gd,342643
321,8,2468,2004,872,1136,1136,2004,2004,Gd,354000
322,7,2730,1986,576,1502,1553,1987,1987,Gd,301000
323,3,1163,1955,220,1162,1163,2005,1955,TA,126175
324,7,2978,1967,564,710,1898,2007,1961,Gd,242000
325,5,803,1941,360,720,803,1950,1941,TA,87000
326,8,1719,1993,473,1719,1719,1993,1993,Gd,324000
327,6,1383,1960,292,1383,1383,1960,1960,TA,145250
328,6,2134,1916,441,844,1445,1994,1930,Gd,214500
329,5,1192,1920,189,596,596,1950,1920,TA,78000
330,5,1728,1964,352,1728,1728,1964,2002,TA,119000
331,5,1056,1958,308,1056,1056,1992,1958,TA,139000
332,8,1629,2003,880,3206,1629,2004,2003,Gd,284000
333,7,1358,2004,484,1358,1358,2004,2004,Gd,207000
334,6,1638,1998,472,943,943,1998,1998,TA,192000
335,5,1786,1965,529,1499,1619,1965,1965,TA,228950
336,9,1922,2005,676,1922,1922,2006,2005,Gd,377426
337,7,1536,2002,532,1536,1536,2003,2002,Gd,214000
338,7,1621,1984,440,1208,1621,1998,1984,Gd,202500
339,6,1215,1958,297,1215,1215,1998,1958,TA,155000
340,8,1908,2002,431,967,993,2002,2002,Gd,202900
341,4,841,1950,294,721,841,1950,1950,TA,82000
342,3,1040,1949,400,0,1040,1950,1949,TA,87500
343,9,1684,2005,564,1684,1684,2005,2005,Ex,266000
344,5,1112,1976,336,536,536,1976,1976,TA,85000
345,6,1577,1939,312,972,972,1950,1939,Fa,140200
346,6,958,1960,301,958,958,1998,1960,TA,151500
347,6,1478,1960,498,1478,1478,1960,1960,TA,157500
348,7,1626,2003,474,764,764,2004,2003,Gd,154000
349,9,2728,2005,706,1848,1848,2006,2006,Ex,437154
350,9,1869,2007,617,1869,1869,2007,2007,Ex,318061
351,7,1453,1986,445,1453,1453,1986,1986,Gd,190000
352,5,1111,1941,200,616,616,1950,1941,TA,95000
353,6,720,1928,484,624,720,2003,2005,TA,105900
354,6,1595,1940,240,940,1192,2000,1940,TA,140000
355,6,1200,1995,521,1200,1200,1995,1995,Gd,177500
356,6,1167,1992,400,1158,1167,1992,1992,Gd,173000
357,5,1142,1976,528,1142,1142,1976,1976,TA,134000
358,5,1352,1958,288,1062,1352,1958,1958,Gd,130000
359,8,1924,1998,592,1086,1086,1998,1998,Gd,280000
360,6,912,1978,470,888,912,1978,1978,TA,156000
361,5,1505,1940,240,883,988,1982,1940,TA,145000
362,7,1922,2003,672,0,495,2003,2003,Gd,198500
363,6,987,1972,264,483,483,2007,1972,Gd,118000
364,6,1574,1976,566,796,790,1976,1976,TA,190000
365,5,1344,1920,468,672,672,1997,1964,TA,147000
366,6,1394,1963,514,1394,1394,1963,1963,TA,159000
367,6,1431,1962,296,1099,1431,1962,1962,TA,165000
368,5,1268,1954,244,1268,1268,1954,1954,TA,132000
369,5,1287,1959,576,1063,1287,2006,1997,Gd,162000
370,6,1664,2000,460,953,953,2000,2000,TA,172400
371,4,1588,1959,680,0,1120,1959,1991,TA,134432
372,6,752,1984,264,744,752,1984,1984,TA,125000
373,5,1319,1953,270,608,1319,1953,1953,TA,123000
374,7,1928,2003,434,847,847,2004,2003,Gd,219500
375,1,904,1922,0,683,904,1950,1980,Fa,61000
376,5,914,1996,576,870,914,1996,1998,TA,148000
377,8,2466,2004,610,1580,1580,2005,2004,Gd,340000
378,9,1856,2010,834,1856,1856,2010,2010,Ex,394432
379,6,1800,2000,463,982,1007,2000,2000,TA,179000
380,5,1691,1924,308,1026,1026,1950,1924,Gd,127000
381,7,1301,2006,572,1293,1301,2006,2006,Gd,187750
382,7,1797,2006,639,939,939,2006,2006,Gd,213500
383,6,784,1928,360,784,784,1950,1950,TA,76000
384,6,1953,1992,501,1580,1079,1992,1992,Gd,240000
385,8,1269,2004,430,1256,1269,2005,2004,Gd,192000
386,5,1184,1910,0,658,658,1996,1980,TA,81000
387,6,1125,1976,352,1041,1125,1976,1977,TA,125000
388,7,1479,1999,577,1468,1479,2000,1999,Gd,191000
389,10,2332,2007,846,1682,1742,2008,2008,Ex,426000
390,5,1367,1900,384,861,961,1950,1978,TA,119000
391,6,1961,2001,560,804,804,2002,2001,Gd,215000
392,5,882,1959,294,0,882,1959,1959,TA,106500
393,4,788,1941,0,788,788,1950,1980,TA,100000
394,5,1034,1940,240,735,735,1950,1940,TA,109000
395,5,1144,1956,596,1144,1144,1956,1956,TA,129000
396,5,894,1972,600,894,894,1972,1985,TA,123000
397,5,1812,1962,264,864,876,1962,1962,TA,169500
398,5,1077,1920,338,961,1077,1950,1920,TA,67000
399,7,1550,2006,438,1092,1112,2007,2007,Gd,241000
400,8,1288,1996,500,1260,1288,1996,1996,Ex,245500
401,7,1310,2005,400,1310,1310,2005,2005,Gd,164990
402,5,672,1940,240,672,672,1997,1940,TA,108000
403,8,2263,1998,420,1141,1165,1998,1998,Gd,258000
404,6,1572,1995,373,806,806,1996,1995,TA,168000
405,4,1620,1976,490,1281,1620,1993,1993,TA,150000
406,6,1639,1936,240,1064,1166,1950,1936,TA,115000
407,6,1680,1915,308,840,840,1976,1960,TA,177000
408,7,2172,2006,947,1063,1071,2006,2006,Gd,280000
409,8,2078,2007,836,1034,1050,2008,2008,Ex,339750
410,5,1276,1958,350,1276,1276,1958,1958,TA,60000
411,5,1056,1955,572,1056,1056,1955,1955,TA,145000
412,7,1478,2009,484,1470,1478,2009,2009,Gd,222000
413,5,1028,1927,360,1008,1028,1950,1927,TA,115000
414,7,2097,1993,678,1080,1080,1993,1993,Gd,228000
415,7,1340,2007,396,1340,1340,2007,2007,Gd,181134
416,6,1400,1978,440,672,672,1978,1978,TA,149500
417,6,2624,1918,864,1370,1370,1950,1918,TA,239000
418,5,1134,1940,240,756,756,1950,1940,TA,126000
419,5,1056,1968,304,1056,1056,1968,1968,TA,142000
420,7,1344,1997,784,1344,1344,1998,1997,TA,206300
421,6,1602,1977,529,1602,1602,2000,1977,Gd,215000
422,5,988,1954,520,988,988,1954,1954,TA,113000
423,8,2630,1998,696,1470,1470,1998,1998,Gd,315000
424,6,1196,1956,297,1196,1196,1956,1956,TA,139000
425,7,1389,1946,240,651,707,1992,1947,TA,135000
426,7,1644,1989,569,1518,1644,1989,1989,Gd,275000
427,4,907,1957,352,907,907,1957,1964,TA,109008
428,7,1208,2007,628,1208,1208,2007,2007,Gd,195400
429,6,1412,1988,576,1392,1412,1988,1988,Gd,175000
430,6,987,1971,264,483,483,1971,1971,TA,85400
431,6,1198,1920,0,901,1088,1998,1980,TA,79900
432,5,1365,1971,440,765,765,1971,1971,TA,122500
433,6,1604,1997,470,926,926,1998,1997,TA,181000
434,4,630,1972,0,630,630,1972,1980,TA,81000
435,7,1661,1996,550,799,827,1996,1996,Gd,212000
436,6,1118,1920,440,648,734,1950,1990,TA,116000
437,6,904,1926,180,884,904,2004,1926,TA,119000
438,5,694,1913,352,440,694,2002,1990,Gd,90350
439,6,1196,1920,528,684,684,2000,2005,Gd,110000
440,10,2402,2008,672,3094,2402,2008,2008,Ex,555000
441,4,1440,1955,0,1440,1440,1955,1980,Fa,118000
442,5,1573,1930,360,1078,1128,1992,1930,TA,162900
443,7,1258,2006,648,1258,1258,2007,2007,Gd,172500
444,7,1908,1994,493,915,933,1995,1994,Gd,210000
445,6,1689,1956,480,1436,1689,1956,1956,TA,127500
446,6,1888,1966,578,1517,1888,2002,1966,Gd,190000
447,7,1886,1998,431,930,956,1999,1998,Gd,199900
448,6,1376,1937,198,780,780,1950,1937,TA,119500
449,3,1183,1948,308,649,679,2002,1981,TA,120000
450,6,813,1930,270,813,813,2005,1932,Gd,110000
451,7,1533,1975,576,1533,1533,1975,1975,Gd,280000
452,6,1756,1996,422,872,888,1997,1996,TA,204000
453,8,1590,2008,676,768,786,2008,2008,Gd,210000
454,5,1728,1976,560,1728,1728,1976,1976,TA,188000
455,7,1242,1973,528,1242,1242,1973,1973,TA,175500
456,5,1344,1916,513,624,624,1950,1916,TA,98000
457,4,1663,1954,529,1364,1663,1994,1954,Gd,256000
458,8,1666,1925,228,588,833,1996,1925,Gd,161000
459,5,1203,1950,352,709,979,1950,1950,Gd,110000
460,8,1935,2009,552,832,832,2009,2009,TA,263435
461,7,1135,1936,576,560,575,2007,1971,Gd,155000
462,5,864,1965,360,864,864,1965,1965,TA,62383
463,6,1660,1934,240,715,849,1995,1939,TA,188700
464,5,1040,1978,0,1040,1040,1978,1980,TA,124000
465,7,1414,2004,398,1375,1414,2004,2004,Gd,178740
466,7,1277,1970,526,1277,1277,1970,1970,TA,167000
467,5,1644,1942,312,728,888,1995,1942,Gd,146500
468,8,1634,2006,866,1626,1634,2006,2006,Gd,250000
469,6,1710,1993,506,832,832,1993,1993,Gd,187000
